App ID,Project Type,Org Name,Project Title,Project Summary,Initiative,Award Amount (Preliminary),Organization Type,Service Area,Notification Date
BP1-IA-157,Implementation,Hope Community Resources Inc,Travel Community Support Specialist (TCSS) Pilot Program,"Hope Community Resources proposes implementing a Travel Community Support Specialist Pilot Program to provide a trained mobile workforce of direct support professionals that helps stabilize services for people with intellectual and developmental disabilities. The project addresses persistent staffing shortages, service disruptions, and limited direct support workforce capacity that affect continuity of care for rural and underserved Alaskans across multiple communities and regions of the state.",Strengthen Workforce,604017.75,"Behavioral health/substance use disorder treatment;Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Kenai Peninsula Borough;Kodiak Island Borough;Matanuska-Susitna Borough;North Slope Borough,2026-08-28 00:00:00
BP1-IA-166,Implementation,"JAMHI Health & Wellness, Inc",Advancing Access: JAMHI’s Capacity Building Initiative for Sustainable Rural Care,"JAMHI Health & Wellness proposes to modernize its organizational infrastructure, enhance workforce readiness, and build sustainable clinical and operational models that improve outcomes and reduce long?term health disparities. This project addresses limited clinical capacity and persistent access barriers for residents of Juneau and the Hoonah-Angoon Census Area through a hub-and-spoke-based model that allows patients to receive multiple services during a single visit to Juneau and supports coordinated follow-up when they return to their home communities.",Health Care Access,442800,"Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Hoonah-Angoon Census Area;Juneau (City and Borough),2026-08-28 00:00:00
BP1-IA-202,Implementation,Mat-Su Regional Medical Center,AI-Assisted EEG: Bridging the Neurological Assessment Gap with AI,"Mat-Su Regional Medical Center (MSRMC) proposes acquiring and implementing an AI-supported platform with a single-use, eight-lead headband, which a nurse can rapidly apply. This system will then enable physicians to quickly determine if a patient is experiencing status epilepticus. This rapid identification is crucial for making emergent treatment decisions, prompting appropriate local care and potentially avoiding the need for a costly, time-sensitive transfer away from the Mat-Su into Anchorage.",Spark Technology and Innovation,250000,Hospital (all types),Matanuska-Susitna Borough,2026-08-28 00:00:00
BP1-IA-209,Implementation,Matanuska-Susitna Borough,MSB EMS CORE Program — Clinical Operations and Rural Exchange,"Matanuska-Susitna Borough proposes a two-way clinical exchange that places rural Alaska paramedics into a high-volume urban emergency medical system and hosts urban paramedics in Alaska. The exchange builds and maintains advanced clinical skills that low patient volume and geographic isolation make difficult to sustain, strengthening the emergency medical workforce that serves Borough residents and surrounding rural communities.",Strengthen Workforce,72787,Emergency Medical Services;Local government,Matanuska-Susitna Borough,2026-08-28 00:00:00
BP1-IA-214,Implementation,Moda,Advancing Value-based Payment Readiness through PCMH Implementation on the Kenai Peninsula,"Moda proposes to partner with Central Peninsula Hospital and South Peninsula Hospital to support implementation of the National Committee for Quality Assurance’s (NCQA) Patient-Centered Medical Home (PCMH) model across four clinic sites. This project will help strengthen partners’ quality improvement and reporting infrastructure, support expanded access to care for rural populations and increase partners' readiness to participate in advanced value-based payment arrangements in preparation for Alaska’s planned 1115 Medicaid coordinated care demonstration project on the Kenai Peninsula.",Pay for Value,2706276,Other vendors partnering with an Alaska healthcare or community organization,Kenai Peninsula Borough,2026-08-28 00:00:00
BP1-IA-225,Implementation,Native Village of Tanana,Tanana Supportive Housing Program for Individuals Entering Recovery,"The Native Village of Tanana, in partnership with the Tanana Chiefs Conference, proposes to establish a culturally grounded supportive housing program paired with outpatient clinical treatment and cultural connection, Elder guidance, and meaningful community roles for adults entering recovery from substance use, addressing the lack of transitional, step-down care between residential treatment and return to home community for rural Alaska Native people in the Interior region.",Healthy Communities,1550852,Behavioral health/substance use disorder treatment;Tribe;Tribal Health Organization,Yukon-Koyukuk Census Area,2026-08-28 00:00:00
BP1-IA-242,Implementation,Norton Sound Health Corporation,Direct Patient Monitoring for High-Risk Patients,Norton Sound Health Corporation proposes to implement a cellular-enabled remote patient monitoring system and daily health check-in surveys to address real-time clinical visibility gaps and coordinate care for five hundred high-risk patients managing complex chronic diseases and serious mental illnesses across Nome and fifteen remote village clinics within the Bering Strait region.,Spark Technology and Innovation,650748.21,"Behavioral health/substance use disorder treatment;Clinic;Emergency Medical Services;Family medicine or primary care;Federally qualified health center;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Organizations providing health technology solutions;Pharmacy;Tribal Health Organization",Nome Census Area,2026-08-28 00:00:00
BP1-IA-255,Implementation,"Pear Suite, Inc.",Launching an Alaska CHW Provider Network and Managed Services Hub,"Pear Suite proposes building a statewide Community Health Worker provider infrastructure and shared services network that enables community-based organizations and local CHW hubs through technology, clinical and compliance support, contracting, revenue cycle management, and operational services, addressing infrastructure gaps that limit CHW integration with healthcare systems across Alaska.",Strengthen Workforce,474967,Organizations providing health technology solutions;Other health care provider,Statewide,2026-08-28 00:00:00
BP1-IA-256,Implementation,"Pear Suite, Inc.",Scaling Alaska’s Community Health Worker Workforce Through Training and Credentialing Infrastructure,"Pear Suite Inc. proposes establishing a statewide Community Health Worker (CHW) workforce development system that combines Alaskan CHW-led training, shared workforce infrastructure, and a credentialing support helpdesk. The project addresses a common challenge: CHWs complete training but often lack ongoing support to navigate credentialing, compliance, and employment pathways. By connecting training to long-term support, the initiative creates a sustainable pathway into Alaska’s healthcare workforce, including rural and frontier communities.",Strengthen Workforce,421467,Organizations providing health technology solutions;Other health care provider,Statewide,2026-08-28 00:00:00
BP1-IA-267,Implementation,Providence Health & Services- Washington,Implementing Remote Patient Monitoring Reimbursement to Drive Sustainability of Services and Positive Outcomes,"Providence Health & Services –Washington proposes establishing Remote Patient Monitoring for three disease states: Congestive Heart Failure, Hypertension, and Type II Diabetes Mellitus. The population of focus would include empaneled Alaskan patients with Medicaid as the primary payer with a diagnosis of one of the three disease states mentioned above.",Spark Technology and Innovation,772500,Family medicine or primary care;Hospital (all types),Statewide,2026-08-28 00:00:00
BP1-IA-268,Implementation,Providence Health & Services- Washington,Improve Continuity of Care in Rural Alaska via Community Connect,"Providence Health & Services – Washington proposes to expand a shared electronic health record system through Community Connect by covering initial vendor licensing costs that prevent small providers from adopting integrated systems. This project addresses fragmented patient records, duplicate testing, poor coordination, and limited system availability. It will support rural hospitals and clinics across Alaska, where scarce resources and high upfront licensing fees prevent use of shared systems that enable continuous, coordinated patient care.",Spark Technology and Innovation,1080000,Behavioral health/substance use disorder treatment;Emergency Medical Services;Family medicine or primary care;Hospital (all types);Maternal health;Pharmacy,Statewide,2026-08-28 00:00:00
BP1-IA-288,Implementation,Set Free Alaska Inc,Rural Health EHR & Systems Modernization TA Initiative,"Set Free Alaska proposes to modernize the operational workflows and health information technology that support behavioral health service delivery, addressing fragmented systems, limited interoperability, and operational inefficiencies affecting rural, remote, and frontier Alaskans. The project will establish an implementation-ready roadmap for integrated, technology-enabled systems that strengthen care coordination and support sustainable healthcare delivery.",Spark Technology and Innovation,95000,Behavioral health/substance use disorder treatment,Statewide,2026-08-28 00:00:00
BP1-IA-316,Implementation,Southeast Region EMS Council,Southeast Alaska EMS Academy Network,"The Southeast Region EMS Council proposes to launch the Southeast Alaska EMS Academy Network, a regional workforce initiative connecting three training hubs with rural communities. The project will expand access to EMS education, instructor development, simulation, leadership support, travel assistance, and collaboration while building shared, increasingly sustainable infrastructure for emergency care across Southeast Alaska.",Strengthen Workforce,616438.23,"Emergency Medical Services;Non-Profit, Social Service, or Community Based Organization",Haines Borough;Hoonah-Angoon Census Area;Juneau (City and Borough);Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Wrangell (City and Borough);Yakutat (City and Borough),2026-08-28 00:00:00
BP1-IA-349,Implementation,Upstream Family Medicine Inc,Upstream Family Medicine OB Capacity Building Initiative,"Upstream Family Medicine proposes recruiting a Family Medicine OB physician and providing advanced obstetric and newborn critical care training for current physicians, addressing obstetric workforce shortages and impending provider retirements across the Central Kenai Peninsula. The project will strengthen local rural capacity to provide prenatal, delivery, postpartum, and newborn care for families in the region.",Strengthen Workforce,250000,Clinic;Family medicine or primary care;Maternal health;Private practitioner,Kenai Peninsula Borough,2026-08-28 00:00:00
BP1-IA-002,Implementation,Alaska Academy of Family Physicians,Rural and Frontier point-of-are ultrasound Initiative,"Alaska Academy of Family Physicians proposes to expand point-of-care ultrasound training and equipment access for healthcare professionals in rural and remote Alaska. The project addresses limited local access to diagnostic imaging, long distances to specialty care, and insufficient opportunities for hands-on ultrasound training in underserved communities by providing hands-on education and point-of-care ultrasound equipment to physicians, advanced practice clinicians, nurses, paramedics, Community Health Aides, and other front line healthcare workers serving rural Alaska communities.",Strengthen Workforce,919975,"Family medicine or primary care;Non-Profit, Social Service, or Community Based Organization",Bethel Census Area;Dillingham Census Area;Lake and Peninsula Borough;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-003,Implementation,Alaska Addiction Rehabilitation Services,Electronic Medical Record Implementation,"Alaska Addiction Rehabilitation Services, Inc. proposes implementing an electronic health record system to improve clinical documentation, care coordination, and data management, addressing the lack of a centralized patient record system for adults receiving substance use disorder treatment from communities across Alaska, including rural and remote areas.",Spark Technology and Innovation,100253.18,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-IA-004,Implementation,Alaska Association on Developmental Disabilities,Strengthening Alaska's Rural Disability Workforce and Support System,"Alaska Association on Developmental Disabilities proposes expanding GoodLife Innovation’s evidence-based workforce stabilization, technology advancements, remote support, and education surrounding innovating housing models, including host homes, to strengthen access to consistent services, increase workforce stability, and improve continuity of care for individuals with disabilities and aging adults in rural and remote Alaska.",Strengthen Workforce,2129485,Association,Statewide,2026-08-21 00:00:00
BP1-IA-005,Implementation,Alaska Association on Developmental Disabilities,The Road Home: Intensive Care and Community Integration for Alaskans with Complex Needs,The Alaska Association on Developmental Disabilities proposes to expand Alaska's capacity to support individuals with intensive needs by establishing a new level of care option for Alaskans with intellectual and/or developmental disabilities and other mental health disabilities whose behavior support needs cannot be met in standard community settings. This addresses a long-identified gap in Alaska's continuum of care by creating time-limited step-down settings with dedicated clinical oversight designed to stabilize behavior and support planned transition back to community-based living.,Health Care Access,1570650,Association,Statewide,2026-08-21 00:00:00
BP1-IA-008,Implementation,Alaska Behavioral Health,Fairbanks Crisis Stabilization Center Development and Implementation,"Alaska Behavioral Health will develop and launch a crisis stabilization center in Fairbanks, providing a safe alternative to emergency departments and law enforcement response for behavioral health crises. The project improves access, reduces high-cost utilization, and strengthens coordination across Interior Alaska. All implementation activities will be completed within the performance period ending June 30, 2027.",Health Care Access,1000000,"Behavioral health/substance use disorder treatment;Emergency Medical Services;Non-Profit, Social Service, or Community Based Organization",Denali Borough;Fairbanks North Star Borough;Southeast Fairbanks Census Area,2026-08-21 00:00:00
BP1-IA-007,Implementation,Alaska Behavioral Health,"Behavioral Health Workforce Development, Clinical Internship Program","Alaska Behavioral Health proposes expanding a statewide clinical internship program to train master’s-level behavioral health students, addressing Alaska’s shortage of culturally responsive providers across rural, remote, and frontier communities.",Strengthen Workforce,422500,"Behavioral health/substance use disorder treatment;Emergency Medical Services;Family medicine or primary care;Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-010,Implementation,Alaska Behavioral Health,Patient Portal and HIE Integration,Alaska Behavioral Health proposes to integrate its electronic health record with Alaska’s Health Information Exchange and implement a patient portal to improve care coordination and patient access. This project addresses fragmented health systems and limited patient access across rural Alaska by enabling real-time data sharing and empowering patients to manage their care statewide.,Spark Technology and Innovation,219343,"Behavioral health/substance use disorder treatment;Family medicine or primary care;Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-011,Implementation,Alaska Behavioral Health Association,Alaska Rural Routine Outcome Monitoring & Measurement-Informed Care Initiative,"The Alaska Behavioral Health Association proposes implementing routine outcome monitoring and measurement-informed care infrastructure with behavioral health providers, addressing the lack of consistent outcome measurement and treatment feedback systems across Alaska’s rural and frontier behavioral health organizations.",Spark Technology and Innovation,510307.3,Association,Statewide,2026-08-21 00:00:00
BP1-IA-013,Implementation,Alaska Behavioral Health Association,Behavioral Health Supervisor Academy Implementation Initiative,"The Alaska Behavioral Health Association proposes implementing a statewide behavioral health supervisor academy, addressing limited access to structured supervision training and leadership development opportunities for supervisors serving behavioral health organizations across Alaska.",Strengthen Workforce,296179.86,Association,Statewide,2026-08-21 00:00:00
BP1-IA-015,Implementation,Alaska Center for Children and Adults,Community Pathways,"The Alaska Center for Children and Adults (ACCA) proposes to expand screening, care navigation, and partnerships to reach families in its service regions who face barriers to accessing services due to location or ineligibility for existing programs. This will address gaps in access to early developmental, behavioral health, and family support services. The project includes community partnerships and a work-based training program to develop qualified staff.",Health Care Access,507909.94,"Non-Profit, Social Service, or Community Based Organization",Bethel Census Area;Copper River Census Area;Denali Borough;Fairbanks North Star Borough;Hoonah-Angoon Census Area;Nome Census Area;North Slope Borough;Northwest Arctic Borough;Southeast Fairbanks Census Area,2026-08-21 00:00:00
BP1-IA-017,Implementation,Alaska Coalition on Housing and Homelessness,Update of the Alaska Homeless Management Information System for Data Sharing with the Department of Health,"The Alaska Coalition on Housing and Homelessness proposes to update the Alaska Homeless Management Information System to improve its ability to securely integrate and exchange data with health systems. Currently the data system is not able to share or compare data with other data systems. The goal is to strengthen care coordination between housing and healthcare services, improve data matching capabilities and support better understanding of health needs among people experiencing homelessness. The coalition serves approximately 15,000 individuals experiencing homelessness statewide every year.",Healthy Communities,1090860.21,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-019,Implementation,Alaska Eating Disorders Alliance,Strengthening Alaska’s Eating Disorders Continuum of Care,"Alaska Eating Disorders Alliance proposes to strengthen Alaska's eating disorder continuum of care by expanding prevention and provider and parent education, patient navigation, and recovery support statewide. Eating disorders are among the most lethal mental health conditions, yet Alaska lacks the trained workforce, care pathways, and recovery infrastructure needed to identify and treat them. This project will address the most critical gaps and continue to build infrastructure across prevention, treatment, and aftercare for Alaskans statewide.",Health Care Access,383737,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-021,Implementation,Alaska Hospital & Healthcare Association,Essential Obstetric Skill Sustainability: A Rural Alaska Simulation Initiative,Alaska Hospital and Healthcare Association proposes establishing a mobile itinerant clinical training program and distributing localized simulation kits to address the critical gap in emergency obstetric readiness and stabilization across rural healthcare facilities for frontier Alaskan communities.,Healthy Beginnings,358271.87,Association,Statewide,2026-08-21 00:00:00
BP1-IA-024,Implementation,Alaska Housing Finance Corporation,Healthcare Workforce Housing Catalyst,"Alaska Housing Finance Corporation proposes offering flexible housing assistance for up to 150 healthcare workers in 5 communities with 10,000 or fewer people that are located off the road system.  This assistance will be for healthcare workers new to the community and can be used for up to $1,000 / month rent or homeowner assistance for 12 months as a continually employed healthcare worker.  The assistance can flex from rental to homeowner assistance during the service period and will help recruit and retain new healthcare workers struggling with housing availability and costs.",Strengthen Workforce,2000000,Public Corporation,Aleutians East Borough;Aleutians West Census Area;Bethel Census Area;Bristol Bay Borough;Chugach Census Area;Copper River Census Area;Denali Borough;Dillingham Census Area;Haines Borough;Hoonah-Angoon Census Area;Kenai Peninsula Borough;Ketchikan Gateway Borough;Kodiak Island Borough;Kusilvak Census Area;Lake and Peninsula Borough;Nome Census Area;North Slope Borough;Northwest Arctic Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Southeast Fairbanks Census Area;Wrangell (City and Borough);Yakutat (City and Borough);Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-026,Implementation,Alaska Jewish Campus,Alaska Friendship Circle All-Inclusive Early Childhood Play Center & Programming,"The Alaska Jewish Campus proposes developing an inclusive, indoor early-childhood play center, enhancing the existing Outdoor Play Center and  providing year-round warm, safe, accessible opportunities for play, movement, and social connection, addressing the shortage of inclusive recreation and developmental support opportunities for young children with disabilities and their families. Open to the public, free of charge, the Play Center serves children from Anchorage, Mat-Su and visitors from across Alaska.",Healthy Beginnings,1557975,"Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality),2026-08-21 00:00:00
BP1-IA-035,Implementation,Alaska Native Tribal Health Consortium,Compatibility Assessment for Wireless Wearable Technology for Continuous Vital Sign Monitoring,"The Alaska Native Tribal Health Consortium (ANTHC) proposes to evaluate wireless wearable technology for continuous patient vital-sign monitoring and to pilot it on a single inpatient unit, addressing the gap in continuous monitoring at rural facilities where intermittent manual vital-sign checks can leave early patient deterioration undetected, for Alaska Native and rural residents served across the Alaska Tribal Health System.",Spark Technology and Innovation,638858,"Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",Statewide,2026-08-21 00:00:00
BP1-IA-033,Implementation,Alaska Native Tribal Health Consortium,ANTHC-UW Emergency Medicine Residency and Faculty Strengthening Program,"The Alaska Native Tribal Health Consortium (ANTHC) proposes to expand its existing partnership with the University of Washington (UW) to establish a statewide Emergency Medicine (EM) Residency Elective and Faculty Exchange Program in Alaska. In Alaska’s rural communities, hospital emergency departments are often staffed by physicians without residency training in EM, leading to disparities in patient health outcomes. This initiative will strengthen the healthcare workforce by improving access to emergency medical care for patients and supporting the training and retention of EM physicians.",Strengthen Workforce,295994,Behavioral health/substance use disorder treatment;Clinic;Hospital (all types);Maternal health;Pharmacy;Specialist;Tribal Health Organization,Statewide,2026-08-21 00:00:00
BP1-IA-042,Implementation,Alaska Stroke Coalition,Statewide Deployment of Clinical AI Decision Support Network Across Alaska Hospitals,"Alaska Stroke Coalition proposes a statewide AI imaging network across 21 acute care hospitals that pairs broad multi-pathology triage with advanced stroke imaging, so every site — urban or rural — receives the same rapid interpretation support for time-critical findings: stroke, hemorrhage, pulmonary embolism, aortic and spinal injury. Utilizing two complementary, cloud-based platforms that run on existing PACS without new imaging hardware — diagnostic breadth everywhere, plus the stroke depth needed to treat and transfer faster, while surfacing incidental findings for earlier intervention.",Spark Technology and Innovation,3156626,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-044,Implementation,Aleutian Pribilof Islands Association,APIA Facility Renovation and Community Wellness Enhancement (Anchorage and Unalaska),"Aleutian Pribilof Islands Association proposes to establish and expand primary care, behavioral health, and wellness services by improving clinical and community health spaces for Alaska Native people in remote Aleutian and Pribilof Islands communities, including Unalaska and Anchorage. The project will renovate and reconfigure office layouts to create private, functional, and secure spaces for health and social services. This will improve delivery of primary care coordination, behavioral health, victim services, elder case management, and veteran suicide prevention services.",Health Care Access,249806.42,Tribal Health Organization,Aleutians West Census Area,2026-08-21 00:00:00
BP1-IA-046,Implementation,Aleutian Pribilof Islands Association,Strengthening Rural Care Coordination through Expansion of Community Health Worker and Social Work Services,"APIA proposes to expand care coordination by adding one medical social worker and two community health workers to its primary care team. This addresses critical workforce shortages and gaps in patient support services for people living in the remote communities of Atka, Nikolski, St. George, and Unalaska. This addresses critical workforce shortages and gaps in patient support services for people living in the remote communities within APIA's Primary Care Services service area (Atka, Nikolski, St. George and Unalaska).",Strengthen Workforce,242531.68,Clinic;Emergency Medical Services;Family medicine or primary care;Tribal Health Organization,Aleutians West Census Area,2026-08-21 00:00:00
BP1-IA-045,Implementation,Aleutian Pribilof Islands Association,Strengthening APIA Rural Diagnostic Capacity through Laboratory Expansion,"The Aleutian Pribilof Islands Association (APIA) proposes to expand laboratory capability at all four Primary Care Services clinics in the remote Aleutian and Pribilof Islands. This project will install a Piccolo Chemistry Analyzer at Nikolski Health Center and deploy troponin-capable point-of-care diagnostic systems at all sites, including the Oonalaska Wellness Center hub. These upgrades will enable timely onsite testing, reduce delays in critical care (especially cardiac events), minimize costly patient travel and medevacs, and improve health outcomes for rural Unangax communities.",Health Care Access,79141,Clinic;Family medicine or primary care;Federally qualified health center;Tribal Health Organization,Aleutians West Census Area,2026-08-21 00:00:00
BP1-PL-005,Planning,All Alaska Pediatric Partnership,All Alaska Pediatric Partnership: Readiness for a Coordinated Pediatric System of Care,"All Alaska Pediatric Partnership (A2P2) proposes an administrative readiness project to strengthen organizational capacity for implementing a multi-phase expansion of Help Me Grow Alaska's referral pathways and service tracks, in support of a more coordinated statewide pediatric system of care. Two contractors will support project design and implementation planning and organizational/workforce readiness respectively. This readiness investment is designed to position A2P2 to successfully implement a companion DOH-solicited Targeted Innovation proposal.",Healthy Beginnings,221801.8,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-PL-006,Planning,Alzheimer's Resource of Alaska,"Statewide Client Management System for ADRD, Care Coordination, and Reimbursement Infrastructure","Alzheimer's Resource of Alaska (ARA) proposes to implement an integrated, statewide client management platform to consolidate ADRD services, Medicaid waiver care coordination, mini-grant administration, and Community Care Hub workflows currently tracked across multiple fragmented tools and paper-based processes. The project will hire a Data Manager, engage a strategic advisory consultant, establish KPIs and data governance structures, and select and begin implementing a unified system that supports billing, referral tracking, and reporting. This infrastructure redesign is intended to strengthen ARA's capacity to deliver coordinated care statewide and support Medicare billing through the Community Care Hub pilot.",Spark Technology and Innovation,374051.38,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-051,Implementation,Arctic Slope Native Association,Center for Supporting Healthy Families Project,"The Arctic Slope Native Association proposes the expansion of health care services in the Arctic Slope Region through the creation of a single coordinated center for families to access health care
referrals, health education, social services, and other family supports to address specific needs for their children.

This project will address gaps in service delivery where referrals might get stuck or lost between programs, parents complete multiple or duplicate intake/eligibility forms, or people seeking services may discover that they are in the wrong building to access a particular program.",Healthy Beginnings,2000000,"Clinic;Dental;Emergency Medical Services;Family medicine or primary care;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",North Slope Borough,2026-08-21 00:00:00
